trade_date,symbol,1. open,2. high,3. low,4. close,5. volume
2019-02-12,SHOP.TRT,216.7000,232.9300,212.8200,232.3700,4455000
2019-02-11,SHOP.TRT,235.0000,239.5000,229.8300,229.8300,3316000
2019-02-08,SHOP.TRT,226.8000,234.6900,225.2500,233.3000,2480000
2019-02-07,SHOP.TRT,226.8900,231.0000,226.8900,228.7200,2071000
2019-02-06,SHOP.TRT,226.6000,229.8200,225.0400,229.1200,1826000
2019-02-05,SHOP.TRT,228.6400,232.2500,227.5600,227.9500,1680000
2019-02-04,SHOP.TRT,223.5500,229.3700,223.5500,227.6100,1626000
2019-02-01,SHOP.TRT,221.2500,223.7600,219.3300,223.2500,1591000
2019-01-31,SHOP.TRT,213.5000,222.8300,212.9500,221.1800,3481000
2019-01-30,SHOP.TRT,211.1100,214.0400,208.8000,213.6200,1588000
